date,timestamp,price,market_cap,est_supply,est_mcap
2021-09-24,1632441600,40.2,0,399268292.68292683,16050585365.85366
2021-09-25,1632528000,37.87,0,399024390.24390244,15111053658.536585
2021-09-26,1632614400,34.72,0,398780487.80487806,13845658536.585365
2021-09-27,1632700800,36.86,0,398536585.36585367,14690058536.585365
2021-09-28,1632787200,33.17,0,398292682.9268293,13211368292.682928
2021-09-29,1632873600,34.18,0,398048780.4878049,13605307317.073172
2021-09-30,1632960000,38.88,0,397804878.0487805,15466653658.536587
2021-10-01,1633046400,37.81,0,397560975.6097561,15031780487.80488
2021-10-02,1633132800,41.59,0,397317073.1707317,16524417073.170734
2021-10-03,1633219200,42.73,0,397073170.73170733,16966936585.365852
2021-10-04,1633305600,46.81,0,396829268.29268295,18575578048.78049
2021-10-05,1633392000,44.73,0,396585365.85365856,17739263414.634148
2021-10-06,1633478400,42.05,0,396341463.41463417,16666158536.585365
2021-10-07,1633564800,46.46,0,396097560.9756098,18402692682.92683
2021-10-08,1633651200,43.3,0,395853658.5365854,17140463414.634146
2021-10-09,1633737600,42.47,0,395609756.097561,16801546341.463415
2021-10-10,1633824000,39.37,0,395365853.65853655,15565553658.536583
2021-10-11,1633910400,39.17,0,395121951.2195122,15476926829.268295
2021-10-12,1633996800,37.58,0,394878048.7804878,14839517073.17073
2021-10-13,1634083200,36.61,0,394634146.3414634,14447556097.560974
2021-10-14,1634169600,37.14,0,394390243.902439,14647653658.536585
2021-10-15,1634256000,36.99,0,394146341.4634146,14579473170.731707
2021-10-16,1634342400,36.61,0,393902439.0243902,14420768292.682926
2021-10-17,1634428800,36.15,0,393658536.58536583,14230756097.560974
2021-10-18,1634515200,35.81,0,393414634.14634144,14088178048.780487
2021-10-19,1634601600,37.74,0,393170731.70731705,14838263414.634146
2021-10-20,1634688000,42.58,0,392926829.26829267,16730824390.2439
2021-10-21,1634774400,40.96,0,392682926.8292683,16084292682.926828
2021-10-22,1634860800,43.7,0,392439024.3902439,17149585365.853659
2021-10-23,1634947200,43.14,0,392195121.9512195,16919297560.975609
2021-10-24,1635033600,41.44,0,391951219.5121951,16242458536.585365
2021-10-25,1635120000,42.83,0,391707317.0731707,16776824390.243902
2021-10-26,1635206400,43.82,0,391463414.63414633,17153926829.268291
2021-10-27,1635292800,39.89,0,391219512.19512194,15605746341.463415
2021-10-28,1635379200,42.96,0,390975609.75609756,16796312195.121952
2021-10-29,1635465600,45.66,0,390731707.31707317,17840809756.09756
2021-10-30,1635552000,43.3,0,390487804.8780488,16908121951.219511
2021-10-31,1635638400,43.03,0,390243902.4390244,16792195121.95122
2021-11-01,1635724800,44.1,0,390000000.0,17199000000.0
2021-11-02,1635811200,44.79,0,389508196.72131145,17446072131.14754
2021-11-03,1635897600,48.02,0,389016393.44262296,18680567213.114758
2021-11-04,1635984000,52.02,0,388524590.1639344,20211049180.32787
2021-11-05,1636070400,49.93,0,388032786.8852459,19374477049.18033
2021-11-06,1636156800,51.19,0,387540983.60655737,19838222950.81967
2021-11-07,1636243200,50.57,0,387049180.3278689,19573077049.18033
2021-11-08,1636329600,54.17,0,386557377.0491803,20939813114.7541
2021-11-09,1636416000,50.22,0,386065573.7704918,19388213114.754097
2021-11-10,1636502400,48.79,0,385573770.4918033,18812144262.295082
2021-11-11,1636588800,50.49,0,385081967.21311474,19442788524.590164
2021-11-12,1636675200,49.62,0,384590163.93442625,19083363934.426228
2021-11-13,1636761600,52.09,0,384098360.6557377,20007683606.557377
2021-11-14,1636848000,51.1,0,383606557.3770492,19602295081.967216
2021-11-15,1636934400,48.16,0,383114754.09836066,18450806557.37705
2021-11-16,1637020800,43.27,0,382622950.8196721,16556095081.967213
2021-11-17,1637107200,43.26,0,382131147.5409836,16530993442.62295
2021-11-18,1637193600,40.23,0,381639344.26229507,15353350819.672129
2021-11-19,1637280000,42.45,0,381147540.9836066,16179713114.7541
2021-11-20,1637366400,45.23,0,380655737.704918,17217059016.39344
2021-11-21,1637452800,43.57,0,380163934.42622954,16563742622.95082
2021-11-22,1637539200,41.12,0,379672131.147541,15612118032.786884
2021-11-23,1637625600,42.75,0,379180327.86885244,16209959016.393442
2021-11-24,1637712000,38.58,0,378688524.59016395,14609803278.688524
2021-11-25,1637798400,43.59,0,378196721.3114754,16485595081.967215
2021-11-26,1637884800,41.07,0,377704918.0327869,15512340983.606558
2021-11-27,1637971200,43.91,0,377213114.75409836,16563427868.852457
2021-11-28,1638057600,50.18,0,376721311.47540987,18903875409.836067
2021-11-29,1638144000,51.69,0,376229508.1967213,19447303278.688522
2021-11-30,1638230400,59.64,0,375737704.91803277,22408996721.311474
2021-12-01,1638316800,63.98,0,375245901.6393443,24008232786.885246
2021-12-02,1638403200,66.37,0,374754098.3606557,24872429508.196724
2021-12-03,1638489600,63.54,0,374262295.08196723,23780626229.508198
2021-12-04,1638576000,75.24,0,373770491.8032787,28122491803.278687
2021-12-05,1638662400,68.25,0,373278688.52459013,25476270491.803276
2021-12-06,1638748800,67.06,0,372786885.24590164,24999088524.590164
2021-12-07,1638835200,68.86,0,372295081.9672131,25636239344.262295
2021-12-08,1638921600,75.21,0,371803278.6885246,27963324590.163933
2021-12-09,1639008000,66.55,0,371311475.40983605,24710778688.52459
2021-12-10,1639094400,60.94,0,370819672.13114756,22597750819.67213
2021-12-11,1639180800,60.23,0,370327868.852459,22304847540.983604
2021-12-12,1639267200,62.05,0,369836065.5737705,22948327868.85246
2021-12-13,1639353600,52.9,0,369344262.295082,19538311475.409836
2021-12-14,1639440000,60.2,0,368852459.0163934,22204918032.786884
2021-12-15,1639526400,61.64,0,368360655.73770493,22705750819.67213
2021-12-16,1639612800,64.29,0,367868852.4590164,23650288524.590164
2021-12-17,1639699200,65.65,0,367377049.1803279,24118303278.68853
2021-12-18,1639785600,74.14,0,366885245.90163934,27200872131.14754
2021-12-19,1639872000,78.12,0,366393442.6229508,28622655737.704918
2021-12-20,1639958400,82.05,0,365901639.3442623,30022229508.19672
