tx,block,actor,contract,event,status,day
0xeab3d45718ec6254efb95733985f4f87c8db380d8aebf680b7fd9b25f6672ae6,14984481,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x849963e51d12c08d6fe9eaf894961c2c5a9ac67f36bf0de49ca271dd6e9b22d0,14984480,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x0d73b67008ef120b3561f1461e49de21b9bbc05528a7109454b58411520c62c6,14984479,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x446769c6a16532e6a9e8a6296bf1c4647108bc08da175e20eb27b3e0295cea0f,14984003,0x55b7969dCE63163d92E8b88722c216EC46c041f3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0xb849cf03900606c07f691f2734ba29ab25d110f132ff55b6c5cd81a18785f470,14984001,0x55b7969dCE63163d92E8b88722c216EC46c041f3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x9587b5fa5cddb080d3ec2d95d137e28c153e45189fc95d9b21ca26e676f47fd8,14966818,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-15
0xb7a246126b72835b8764f638b0c93bad50c14d013587e5effe4a1f93ae0406d0,14966817,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-15
0xa8764223ed387dd032366f02dfb07c9fb59334f4e13f350096c07bdb90ce7e54,14966817,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-15
0xb2809550131d6f7b206695f0fef4925dad96ab5e8bfd3e42d1521e706f4e249c,14959601,0x79AEbA95B3B6E3E9dF374f163a4AC1edbd6eC628,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-14
0xf0b6725066ae60a16f3e4aeba8d58acdedc53ca1c2288134a1c51436978fd626,14959601,0x99b02491Fd1A9a7A97a31d046767c08D5cCc9A1d,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-14
